label,coordinate
4568,582.79021
1720,800.93283
3218,691.44065
3300,687.79531
3320,684.89843
1498,824.90415
1230,874.07141
1566,814.14783
1832,793.00603
2604,735.87739
4000,642.36726
2208,757.19465
1364,851.14696
4590,580.40053
1910,788.75435
2608,734.99630
2420,744.73868
1488,826.23819
1050,901.50957
4444,597.73896
1486,826.67615
1188,881.68558
1190,881.42022
1456,832.70947
4584,581.17491
4020,639.20783
3526,670.28652
1370,849.75196
3916,645.97836
2146,765.37457
1116,893.12351
4586,580.89746
1204,878.68087
1558,814.51261
2850,713.78870
1302,861.41882
3726,657.21500
3724,657.72500
4592,580.67798
3914,646.78065
1508,823.02152
4306,623.13113
2160,762.93457
2154,764.07203
3004,706.92504
4586,580.89746
1800,798.25935
1206,878.14022
1710,802.79783
1476,829.44616
1824,794.30830
1166,886.28457
4368,611.55796
1080,898.04891
1366,850.15821
2006,782.02425
3204,693.38000
3208,692.87420
1808,796.87935
4242,625.15984
4360,613.51761
4570,582.51287
3528,670.06717
1620,807.45239
1202,878.86087
4594,581.17738
1452,833.88199
1344,853.90251
3118,697.71000
2522,737.21465
2836,715.53045
3606,666.32880
3938,644.18283
2514,738.21475
1066,899.87870
2440,743.80324
1820,795.15348
1518,820.97107
3708,659.14662
1602,810.03739
4586,580.89746
2102,773.94957
1292,863.18862
1282,865.30304
3924,644.87925
1610,808.99739
1388,846.89304
1150,888.00101
1210,877.46757
1250,870.45213
2860,711.68870
1378,848.59696
3324,683.49152
3906,647.90565
1298,862.29565
2824,716.87059
1814,796.26830
3224,690.16781
1724,799.69914
2504,740.16630
2150,764.67397
3918,645.58624
1232,873.72493
3700,660.06498
3900,648.85065
1356,852.46413
1354,852.88913
4348,617.28196
1630,806.30239
3806,654.02500
2214,756.57366
3216,691.52065
3532,669.30217
2210,756.99462
846,922.92109
848,922.60848
North Virgil Avenue,592.68600
Virgil Place,599.86600
Fountain Avenue,614.45200
Bates Avenue,624.94300
Manzanita Street,637.58800
Santa Monica Boulevard,641.27200
Sanborn Avenue,643.38200
Hyperion Avenue,649.60200
Lucile Avenue,655.33200
Edgecliffe Drive,661.28200
Maltman Avenue,668.02400
Golden Gate Avenue,675.34700
Descanso Drive,695.08000
North Vendome Street,702.21500
North Reno Street,708.55900
Parkman Avenue,711.37100
Silver Lake Boulevard,714.75700
North Occidental Boulevard,719.25100
North Benton Way,732.08300
North Rampart Boulevard,736.79500
North Coronado Street,741.67200
Rosemont Avenue,761.24400
Mohawk Street,767.14400
North Alvarado Street,774.80700
Park Avenue,785.54100
Glendale Boulevard,792.02800
Lemoyne Street,799.03100
Logan Street,804.94300
Echo Park Avenue,811.32800
Laveta Terrace,820.13400
Douglas Street,844.13500
Allison Avenue,852.06600
Marion Avenue,879.56600
North Boylston Street,885.55100
Bellevue Avenue,None
Bellevue Avenue,None
North Beaudry Avenue,None
Custer Avenue,None
Route 110,None
Boston Street,None
North Figueroa Street,None
North Bunker Hill Avenue,None
Grand Avenue,None
Fort Moore Place,None
North Hill Place,None
North Hill Place,None
North Hill Street,None
North Broadway,None
North Broadway,None
North Spring Street,None
North Main Street,None
North Alameda Street,None
