id,label,coordinate,street_side,hidden
697,North Orange Drive,291.70555,s,False
698,7006,290.67994,s,False
699,7014,288.76364,s,False
700,7022,287.37573,s,False
701,7038,284.37369,s,False
702,7040,282.70376,s,False
703,7060,281.51197,s,False
704,7064,280.61318,s,False
705,7070,278.58167,s,False
706,North La Brea Avenue,277.43444,s,False
707,7100,275.42436,s,False
708,7120,273.67408,s,False
709,7124,272.72979,s,False
710,7128,272.23740,s,False
711,North Detroit Street,271.47688,s,False
712,7140,270.09894,s,False
713,7144,269.36572,s,False
714,7146,269.02905,s,False
715,7148,268.51809,s,False
716,7152,267.75125,s,False
717,7158,267.51201,s,False
718,7160,266.54079,s,False
719,North Formosa Avenue,265.63698,s,False
720,7176,264.67836,s,False
721,7180,263.89014,s,False
722,7188,262.80643,s,False
723,North Alta Vista Boulevard,260.90837,s,False
724,7212,258.82411,s,False
725,7222,256.00076,s,False
726,7224,255.64823,s,False
727,7226,255.16896,s,False
728,7228,254.68177,s,False
729,North Poinsettia Place,253.98081,s,False
730,7256,253.35010,s,False
731,7260,252.72031,s,False
732,7266,252.32977,s,False
733,7270,251.94952,s,False
734,7272,251.47341,s,False
735,7274,251.02979,s,False
736,7276,250.74064,s,False
737,7280,250.45149,s,False
738,7282,250.02767,s,False
739,7288,249.23945,s,False
740,7290,248.30625,s,False
741,North Fuller Avenue,247.23848,s,False
742,7300,245.48053,s,False
743,7320,244.53168,s,False
744,7318,242.52646,s,False
745,North Martel Avenue,241.11475,s,False
746,7350,240.03425,s,False
747,7360,238.82775,s,False
748,7370,237.58560,s,False
749,North Vista Street,235.13294,s,False
750,7402,234.30041,s,False
751,7404,233.70389,s,False
752,7406,233.16520,s,False
753,7408,232.55918,s,False
754,7414,231.99831,s,False
755,7416,231.58242,s,False
756,7420,231.17048,s,False
757,7422,230.76646,s,False
758,7424,230.30462,s,False
759,7426,229.67483,s,False
760,North Gardner Street,229.00946,s,False
761,7500,227.47731,s,False
762,7508,226.89109,s,False
763,7510,226.40152,s,False
764,7512,226.15990,s,False
765,7514,225.84303,s,False
766,7516,225.42713,s,False
767,7518,225.20294,s,False
768,7520,225.00743,s,False
769,7522,224.79893,s,False
770,7524,224.29589,s,False
771,7528,223.65343,s,False
772,North Sierra Bonita Avenue,223.00441,s,False
773,7550,222.20135,s,False
774,7554,221.59691,s,False
775,7556,221.37510,s,False
776,7558,221.03446,s,False
777,7560,220.76274,s,False
778,7562,220.44983,s,False
779,7564,220.07684,s,False
780,7566,219.88896,s,False
781,7570,219.58397,s,False
782,7574,219.00171,s,False
783,7578,218.46302,s,False
784,7580,217.94414,s,False
785,North Curson Avenue,216.90419,s,False
786,7600,215.60831,s,False
787,7610,214.70252,s,False
788,7630,211.45297,s,False
789,North Stanley Avenue,210.68572,s,False
790,7650,209.78304,s,False
791,7652,209.60084,s,False
792,7656,208.60823,s,False
793,7660,206.30218,s,False
794,North Spaulding Avenue,205.12978,s,False
795,7700,203.87597,s,False
796,7720,201.05949,s,False
797,North Genesee Avenue,199.21891,s,False
798,7750,198.02406,s,False
799,7758,194.74577,s,False
800,North Ogden Drive,193.00056,s,False
801,7800,192.21553,s,False
802,7840,188.75843,s,False
803,North Orange Grove Avenue,186.97175,s,False
804,7850,185.70138,s,False
805,7860,184.51469,s,False
806,7862,183.93639,s,False
807,7880,181.79828,s,False
808,North Fairfax Avenue,180.68232,s,False
809,7900,179.37895,s,False
810,7910,178.27939,s,False
811,7914,177.40007,s,False
812,7916,176.90891,s,False
813,7918,176.53817,s,False
814,7920,174.06972,s,False
815,North Hayworth Avenue,172.97354,s,False
816,7950,170.57063,s,False
817,7966,169.27699,s,False
818,7970,167.90413,s,False
819,7980,166.56851,s,False
820,7982,166.06151,s,False
821,7994,165.60363,s,False
822,North Laurel Avenue,165.04648,s,False
823,8000,164.33137,s,False
824,8004,163.93924,s,False
825,8006,163.59860,s,False
826,8008,163.29757,s,False
827,8010,162.85395,s,False
828,8012,162.36675,s,False
829,8024,161.38603,s,False
830,8100,160.55186,s,False
831,8102,159.89434,s,False
832,8106,159.23841,s,False
833,8108,158.67596,s,False
834,North Crescent Heights Boulevard,157.87218,s,False
835,8116,156.39922,s,False
836,8118,155.96748,s,False
